Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200757408,80NNSC20K0723 P00002,(N/A),KSC,The Use of Microgravity Simulators for a Mechanistic Understanding of Cytoskeletal-mediated Regulation of Root Growth,RESEARCH OPPORTUNITIES IN SPACE BIOLOGY,ELISON BLANCAFLOR BLANCAFLOR,Ye Zhang,2/19/2021,7/26/2018,7/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0006 P00006,(N/A),HQ,DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME,STUDIES WITH ICESAT AND CRYOSAT -2,Sinead Farrell,THORSTEN MARKUS,10/15/2021,4/24/2017,6/20/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0008 P00006,UNIVERSITY OF COLORADO - BOULDER,HQ,THE SOLAR DYNAMO REVEALED,HELIOPHYSICS GRAND CHALLENGES RESEARCH,NICHOLAS FEATHERSTONE,Guan Le,5/26/2021,6/23/2017,6/22/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0009 P00004,(N/A),HQ,PHYSICAL ORIGINS OF SUPRATHERMAL ION POPULATIONS THROUGHOUT THE HELIOSPHERE,HELIOPHYSICS GRAND CHALLENGES RESEARCH,NOE LUGAZ,Ekaterina Verner,7/16/2021,8/1/2017,7/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0013 P00005,UNIVERSITY CORPORATION FOR ATMOSPHERIC R,HQ,THE DYNAMICS AND EFFECTS OF THE SUBAURORAL POLARIZATION STREAMS,HELIOPHYSICS GRAND CHALLENGES RESEARCH,Wenbin Wang,James Spann,7/21/2021,6/23/2017,6/22/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0015 P00004,UNIVERSITY OF MICHIGAN - ANN ARBOR,HQ,OUTFLOW AND GEOSPACE: IMPACT AND FEEDBACK OF HEAVY IONS IN THE MAGNETOSPHERE,HELIOPHYSICS GRAND CHALLENGES RESEARCH,Michael Liemohn,Ekaterina Verner,7/6/2021,6/23/2017,6/22/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0016 P00006,NEW JERSEY INSTITUTE OF TECHNOLOGY,HQ,"DATA-CONSTRAINED, DATA-DRIVEN AND LABORATORY-TESTED MHD SIMULATIONS TO UNDERSTAND THE SUCCESSFUL AND FAILED SOLAR ERUPTIONS",HELIOPHYSICS GRAND CHALLENGES RESEARCH,Haimin Wang,Guan Le,5/14/2021,6/23/2017,6/22/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0017 P00007,UNIVERSITY OF COLORADO,HQ,THE INTERACTION OF MASS MOVEMENTS WITH NATURAL HAZARDS UNDER CHANGING HYDROLOGIC CONDITIONS,INTERDISCIPLINARY SCIENCE,KRISTY TIAMPO,Gerald Bawden,6/17/2021,6/22/2017,9/30/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0018 P00003,WASHINGTON UNIVERSITY,HQ,ANALYSES AND INTERPRETATIONS OF NOBLE GASES DELIVERED BY GENESIS AND STARDUST MISSIONS - PHASE 2,LABORATORY ANALYSIS OF RETURNED SAMPLES,STEPHANIE BEMBERG,JEFFREY GROSSMAN,3/12/2021,5/1/2018,2/28/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0018 P00004,Washington University (St. Louis),HQ,ANALYSES AND INTERPRETATIONS OF NOBLE GASES DELIVERED BY GENESIS AND STARDUST MISSIONS - PHASE 2,LABORATORY ANALYSIS OF RETURNED SAMPLES,ALEXANDER MESHIK,JEFFREY GROSSMAN,4/9/2021,5/1/2018,2/28/2022,Approved/ Awarded,Distribution
4200776541,80NSSC17K0018 P00005,(N/A),HQ,ANALYSES AND INTERPRETATIONS OF NOBLE GASES DELIVERED BY GENESIS AND STARDUST MISSIONS - PHASE 2,LABORATORY ANALYSIS OF RETURNED SAMPLES,ALEXANDER MESHIK,JEFFREY GROSSMAN,9/10/2021,5/1/2018,2/28/2022,Approved/ Awarded,Distribution
4200767436,80NSSC17K0021 P00012,UNIVERSITY OF FLORIDA,JSC,"BED REST COMBINED WITH 0.5% CO2 AS A SPACEFLIGHT ANALOG TO STUDY NEUROCOGNITIVE CHANGES: EXTENT, LONGEVITY, AND NEURAL BASES",BEHAVIORAL HEALTH & PERFORMANCE AND HUMAN HEALTH COUNTERMEASURES  TOPICS,RACHEL SEIDLER,LUCY BARNES-MOTEN,6/6/2021,6/29/2017,1/1/2022,Approved/ Awarded,Distribution
4200786663,80NSSC17K0021 P00013,UNIVERSITY OF FLORIDA,JSC,"BED REST COMBINED WITH 0.5% CO2 AS A SPACEFLIGHT ANALOG TO STUDY NEUROCOGNITIVE CHANGES: EXTENT, LONGEVITY, AND NEURAL BASES",BEHAVIORAL HEALTH & PERFORMANCE AND HUMAN HEALTH COUNTERMEASURES  TOPICS,RACHEL SEIDLER,LUCY BARNES-MOTEN,12/1/2021,6/29/2017,1/1/2023,Approved/ Awarded,Distribution
(N/A),80NSSC17K0022 P00007,SOUTHERN METHODIST UNIVERSITY,HQ,DEVELOPMENT OF AN INCORPORATED PLATFORM TO CHARACTERIZE HYDROLOGY-DRIVEN LANDSLIDE HAZARDS IN NORTHWESTERN US,INTERDISCIPLINARY SCIENCE,ZHONG LU,Gerald Bawden,6/3/2021,6/12/2017,6/22/2022,Approved/ Awarded,Distribution
4200768803,80NSSC17K0022 P00008,SOUTHERN METHODIST UNIVERSITY,HQ,DEVELOPMENT OF AN INCORPORATED PLATFORM TO CHARACTERIZE HYDROLOGY-DRIVEN LANDSLIDE HAZARDS IN NORTHWESTERN US,INTERDISCIPLINARY SCIENCE,ZHONG LU,Gerald Bawden,7/29/2021,6/12/2017,6/22/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0024 P00008,Stanford University,HQ,INTRA-BINARY SHOCK EMISSION IN THE BLACK WIDOW POPULATION,ASTROPHYSICS DATA ANALYSIS,ROGER ROMANI,DOUGLAS HUDGINS,5/25/2021,6/12/2017,6/11/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0025 P00005,(N/A),HQ,GENESIS SAMPLES: ANALYSIS AND TECHNICAL ENABLING,LABORATORY ANALYSIS OF RETURNED SAMPLES,DONALD BURNETT,JEFFREY GROSSMAN,8/13/2021,9/1/2017,8/31/2022,Approved/ Awarded,Distribution
4200772739,80NSSC17K0026 P00007,California Institute of Technology,HQ,"STAR, DISK, AND PLANET PHENOMENA AT <10 MILLION YEAR AGES WITH K2",ASTROPHYSICS DATA ANALYSIS,Lynne Hillenbrand,DOUGLAS HUDGINS,8/8/2021,6/23/2017,6/22/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0030 P00007,UNIVERSITY OF DENVER,HQ,EVOLUTION OF A MULTI-FUNCTIONAL ADHESION MODULE NECESSARY FOR COMPLEX MULTICELLULARITY,EXOBIOLOGY,SCOTT NICHOLS,Lindsay Hays,9/18/2021,7/5/2017,7/5/2022,Approved/ Awarded,Distribution
4200768393,80NSSC17K0032 P00004,UNIVERSITY OF CALIFORNIA - BERKELEY,HQ,CURIE: CUBESAT RADIO INTERFEROMETRY EXPERIMENT,HELIOPHYSICS TECHNOLOGY AND INSTRUMENT DEVELOPMENT FOR SCIENCE,DAVID SUNDKVIST,John Moses,6/14/2021,7/5/2017,9/30/2022,Approved/ Awarded,Distribution
4200756864,80NSSC17K0033 P00006,TEMPLE UNIVERSITY,HQ,DNA REPAIR UNDER EXTREME CONDITIONS - EXTENDED STUDIES,EXOBIOLOGY,ROBERT STANLEY,Lindsay Hays,2/26/2021,9/1/2017,8/31/2021,Approved/ Awarded,Distribution
4200764209,80NSSC17K0033 P00007,TEMPLE UNIVERSITY,HQ,DNA REPAIR UNDER EXTREME CONDITIONS - EXTENDED STUDIES,EXOBIOLOGY,ROBERT STANLEY,Lindsay Hays,4/21/2021,9/1/2017,8/31/2021,Approved/ Awarded,Distribution
4200774248,80NSSC17K0033 P00008,TEMPLE UNIVERSITY,HQ,DNA REPAIR UNDER EXTREME CONDITIONS - EXTENDED STUDIES,EXOBIOLOGY,ROBERT STANLEY,Lindsay Hays,8/27/2021,9/1/2017,12/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0034 P00008,PENN STATE,HQ,"PRE-CELLULAR COMPARTMENTALIZATION FOR RNA SYNTHESIS, STRUCTURE, AND FUNCTION",EXOBIOLOGY,CHRISTINE KEATING,Lindsay Hays,7/23/2021,8/1/2017,7/31/2022,Approved/ Awarded,Distribution
4200767008,80NSSC17K0043 P00008,UNIVERSITY OF FLORIDA - GAINSVILLE,JSC,CHARACTERIZATION OF FRAGMENTS RESULTING FROM THE DEBRISAT/DEBRISLV HYPER-VELOCITY IMPACT EXPERIMENT,UNSOLICITED,NORMAN FITZ-COY,Heather Cowardin,6/3/2021,7/1/2017,6/30/2022,Approved/ Awarded,Distribution
4200772347,80NSSC17K0043 P00009,(N/A),JSC,CHARACTERIZATION OF FRAGMENTS RESULTING FROM THE DEBRISAT/DEBRISLV HYPER-VELOCITY IMPACT EXPERIMENT,UNSOLICITED,NORMAN FITZ-COY,Heather Cowardin,7/24/2021,7/1/2017,6/30/2022,Approved/ Awarded,Distribution
4200759506,80NSSC17K0044 P00007,THE AEROSPACE CORPORATION,HQ,LOW-LATITUDE IONOSPHERE/THERMOSPHERE ENHANCEMENTS IN DENSITY (LLITED) CUBESAT MISSION,HELIOPHYSICS TECHNOLOGY AND INSTRUMENT DEVELOPMENT FOR SCIENCE,Rebecca Bishop,THOMAS JOHNSON,3/11/2021,5/22/2017,5/21/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0044 P00008,THE AEROSPACE CORPORATION,HQ,LOW-LATITUDE IONOSPHERE/THERMOSPHERE ENHANCEMENTS IN DENSITY (LLITED) CUBESAT MISSION,HELIOPHYSICS TECHNOLOGY AND INSTRUMENT DEVELOPMENT FOR SCIENCE,Rebecca Bishop,Thomas Johnson,4/16/2021,5/22/2017,5/21/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0057 P00004,(N/A),HQ,MASS LOSS AT HIGHER METALLICITY: QUANTIFYING THE MASS RETURN FROM EVOLVED STARS IN THE GALACTIC BULGE,ASTROPHYSICS DATA ANALYSIS,Benjamin Sargent,DOUGLAS HUDGINS,7/22/2021,7/24/2017,7/23/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0059 P00004,(N/A),HQ,CLIMATIC CONTROL OF EXPLOSIVE COLCANISM ON MARS,RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES ? 2014,JEFFREY ANDREWS-HANNA,Delia Santiago-materese,8/9/2021,7/20/2017,7/19/2022,Approved/ Awarded,Distribution
4200764140,80NSSC17K0064 P00005,WORLD METEOROLOGICAL ORGANIZATION ( GROU,HQ,THE GROUP ON EARTH OBSERVATIONS: MAXIMIZING THE VALUE OF EARTH OBSERVATIONS FOR SOCIETAL BENEFIT IN THE FACE OF GLOBAL CHALLENGES,UNSOLICITED,BARBARA RYAN,LAWRENCE FRIEDL,4/22/2021,2/3/2017,2/2/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0070 P00005,UNIVERSITY OF ILLINOIS - URBANA?CHAMPAIG,HQ,COMPACT BINARY MERGERS IN GENERAL RELATIVITY,ASTROPHYSICS THEORY,Stuart Shapiro,Evan Scannapieco,6/7/2021,7/1/2017,6/30/2020,Approved/ Awarded,Distribution
4200772628,80NSSC17K0070 P00006,University of Illinois at Urbana?Champaign,HQ,COMPACT BINARY MERGERS IN GENERAL RELATIVITY,ASTROPHYSICS THEORY,Stuart Shapiro,Evan Scannapieco,8/9/2021,7/1/2017,6/30/2022,Approved/ Awarded,Distribution
4200779654,80NSSC17K0071 P00005,(N/A),HQ,CHARACTERIZATION OF THE SPATIO-TEMPORAL VARIABILITY OF SNOW PROPERTIES TO SUPPORT ACTIVE AND PASSIVE MICROWAVE REMOTE SENSING OF SNOW,TERRESTRIAL HYDROLOGY,NOAH MOLOTCH,Jared Entin,9/15/2021,6/26/2017,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC17K0073 P00004,UNIVERSITY CORPORATION FOR ATMOSPHERIC R,HQ,ADVANCING CLOUD MICROPHYSICS FOR SEAMLESS PREDICTION OF WEATHER AND CLIMATE,"MODELING, ANALYSIS, AND PREDICTION",ANDREW GETTELMAN,DAVID CONSIDINE,6/8/2021,6/26/2017,6/25/2022,Approved/ Awarded,Distribution
4200765594,80NSSC17K0075 P00005,UNIVERSITY OF CALIFORNIA - SANTA BARBARA,HQ,IMPROVING MKID PERFORMANCE AT THE UVOIR WAVELENGTHS,NASA SPACE TECHNOLOGY RESEARCH FELLOWSHIP (NSTRF) - FALL 2017,BENJAMIN MAZIN,HUNG NGUYEN,6/10/2021,8/1/2017,7/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC17K0076 P00008,UNIVERSITY OF CALIFORNIA - LOS ANGELES,HQ,A HIGH DV MINIATURE ION THRUSTER FOR SMALLSAT PRIMARY PROPULSION,NASA SPACE TECHNOLOGY RESEARCH FELLOWSHIP (NSTRF) - FALL 2017,RICHARD WIRZ,HUNG NGUYEN,4/8/2021,8/1/2017,1/29/2021,Approved/ Awarded,Distribution
4200757861,80NSSC17K0077 P00008,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,HQ,ENHANCING DOCKING AND MANIPULATION CAPABILITY FOR MICROGRAVITY ROBOTIC FREE FLYERS,NASA SPACE TECHNOLOGY RESEARCH FELLOWSHIP (NSTRF) - FALL 2017,REBECCA MASTERSON,HUNG NGUYEN,3/8/2021,9/1/2017,8/31/2021,Approved/ Awarded,Distribution
