Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX07AJ53G S09,National Academy of Sciences,HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,2/3/2014,6/1/2007,3/31/2015,Work In Progress,Receiving
(N/A),NNX07AJ53G S10,National Academy of Sciences,HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,5/30/2014,6/1/2007,12/31/2015,Work In Progress,Receiving
4200516988,NNX07AJ53G S11,National Academy of Sciences,HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,6/12/2014,6/1/2007,12/31/2015,Work In Progress,Receiving
(N/A),NNX07AK91A S07,UNIVERSITY OF NORTH DAKOTA,HQ,NORTH DAKOTA NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,SANTHOSH SEELAN,JEPPIE R COMPTON,1/6/2014,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AK92A S08,UNIVERSITY OF VERMONT,HQ,VERMONT EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,DARREN L HITT,JEPPIE R COMPTON,1/6/2014,5/2/2007,5/1/2014,Awarded,Distribution
4200516722,NNX07AR59G S07,Catholic University of America,HQ,SURFACE ELEMENTAL ANALYSIS OF MERCURY WITH THE MESSENGER GEOCHEMISTRY,MESSENGER MISSION PARTICIPATING SCIENTISTS,RICHARD D STARR,EDWIN J GRAYZECK,6/17/2014,8/15/2007,8/14/2015,Work In Progress,Distribution
4200516726,NNX07AR60G S07,SMITHSONIAN INSTITUTION,HQ,GLOBAL CHARACTERIZATION AND ANALYSIS OF TECTONISM ON MERCURY,MESSENGER PARTICIPATING SCIENTIST PROGRAM,THOMAS R WATTERS,EDWIN J GRAYZECK,6/13/2014,8/15/2007,8/14/2015,Work In Progress,Funding |
(N/A),NNX07AR61G S07,University of Maryland-Baltimore County,HQ,ADVANCED MHD MODELING OF THE MAGNETOSPHERE OF MERCURY TO SUPPORT THE MESSENGER MISSION,MESSENGER MISSION PARTICIPATING SCIENTISTS,MEHDI BENNA,EDWIN J GRAYZECK,7/28/2014,8/15/2007,8/14/2015,Work In Progress,Receiving
4200519340,NNX07AR62G S07,University of California-Los Angeles,HQ,UNDERSTANDING MERCURY'S MAGNETOSPHERE USING MESSENGER DATEA AND GLOBAL KINETIC SIMULATIONS,RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES - 2006,DAVID SCHRIVER,EDWIN J GRAYZECK,7/11/2014,8/15/2007,8/14/2015,Work In Progress,Receiving
4200519338,NNX07AR63G S09,JOHNS HOPKINS UNIVERSITY,HQ,A COMPREHENSIVE INVESTIGATION OF MERCURY'S EXOSPHERE:  A MESSENGER PARTICIPATING SCIENTIST PROPOSAL,MESSENGER MISSION PARTICIPATING SCIENTISTS PROGRAM,RONALD VERVACK,EDWIN J GRAYZECK,7/10/2014,8/15/2007,8/14/2015,Work In Progress,Receiving
