Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200253596,NNX06AB02G S03,SOUTHWEST RESEARCH INSTITUTE,HQ,ADMINISTRATIVE - NO COST EXTENSION,PLANETARY GEOLOGY AND GEOPHYSICS,HENRY DONES,MICHAEL KELLEY,4/3/2009,5/4/2006,5/3/2010,Awarded,Distribution
4200252849,NNX06AB03G S03,PROXEMY RESEARCH INC.,HQ,"FUNDING - DEOBLIGATION, $13,192 & ADM - CHANGE TO END POP DATE TO 12/16/2008",PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,LORI GLAZE,MICHAEL S. KELLEY,1/28/2009,5/15/2006,12/16/2008,Awarded,Distribution
4200248823,NNX06AB04G S04,CALIFORNIA INSTITUTE OF TECHNOLOGY,HQ,ADMINISTRATIVE - NO COST EXTENSION & T.O. CHANGE,SCIENCE MISSION DIRECTORATE'S EARTH-SUN SYSTEM DIVISION,PAUL WENNBERG,DAVID CONSIDINE,5/13/2009,5/15/2006,5/14/2010,Awarded,Distribution
4200243321,NNX06AB08A S03,"NEW MEDIA STUDIO, INC.",HQ,ADMINISTRATIVE - NO COST EXTENSION,ADVANCING COLLABORATIVE CONNECTIONS FOR EARTH-SUN SYSTEM SCIENCE,BRUCE CARON,MARTHA MAIDEN,6/22/2009,6/1/2006,5/31/2010,Awarded,Distribution
4200246202,NNX06AB14G S05,UNIVERSITY OF COLORADO - BOULDER,HQ,ADMINISTRATIVE - NO COST EXTENSION,ASTRONOMY AND PHYSICS RESEARCH AND ANALYSIS,THEODORE SNOW,ERIC P. SMITH,5/21/2009,5/25/2006,5/24/2010,Awarded,Distribution
4200179022,NNX06AB15G S03,UNIVERSITY OF IDAHO,GSFC,ADMINISTRATIVE - NO COST EXTENSION,FY06 EARMARK REQUEST FOR PROPOSAL LETTER,GARY MAKI,MICHAEL JOHNSON,3/31/2009,10/1/2006,3/31/2010,Awarded,Distribution
4200179022,NNX06AB15G S04,UNIVERSITY OF IDAHO,GSFC,ADMINISTRATIVE - P.I. CHANGE,FY06 EARMARK REQUEST FOR PROPOSAL LETTER,STERLING WHITAKER,MICHAEL JOHNSON,10/26/2009,10/1/2006,3/31/2010,Awarded,Distribution
4200176043,NNX06AB17G S02,UNIVERSITY OF IDAHO,HQ,ADMINISTRATIVE - NO COST EXTENSION,FY 06 EARMARK REQUEST FOR PROPOSAL LETTER,GARY MAKI,DAVID LAVERY,4/16/2009,9/14/2006,3/13/2010,Awarded,Distribution
4200176043,NNX06AB17G S03,UNIVERSITY OF IDAHO,HQ,ADMINISTRATIVE - P.I. CHANGE,FY 06 EARMARK REQUEST FOR PROPOSAL LETTER,STERLING WHITAKER,DAVID LAVERY,10/28/2009,9/14/2006,3/13/2010,Awarded,Distribution
4200241322,NNX06AB19G S03,SOUTHWEST RESEARCH INSTITUTE,HQ,ADMINISTRATIVE - NO COST EXTENSION,MARS FUNDAMENTAL RESEARCH,SCOTT PAINTER,MARILYN LINDSTROM,5/13/2009,5/10/2006,5/9/2010,Awarded,Distribution
4200248211/ 4200250207,NNX06AB21G S03,PLANETARY SCIENCE INSTITUTE,HQ,"ADMINISTRATIVE - NO COST EXTENSION, (12 MONTH) NEW END POP DATE 05/31/2010",MARS FUNDAMENTAL RESEARCH PROGRAM,REBECCA WILLIAMS,MARILYN LINDSTROM,1/27/2009,6/1/2006,5/31/2010,Awarded,Distribution
4200249346,NNX06AB23G S04,SETI INSTITUTE,HQ,ADMINISTRATIVE - NO COST EXTENSION,MARS FUNDAMENTAL RESEARCH PROGRAM,JANICE BISHOP,MARILYN LINDSTROM,8/4/2009,6/1/2006,5/31/2010,Awarded,Distribution
4200249330,NNX06AB25G S03,ARIZONA STATE UNIVERSITY,HQ,12 MONTH NO COST EXTENSION,MARS FUNDAMENTAL RESEARCH PROGRAM,THOMAS SHARP,MARILYN LINDSTROM,4/22/2009,6/1/2006,5/31/2010,Awarded,Distribution
4200241629,NNX06AB26G S02,UNIVERSITY OF WASHINGTON,HQ,ADMINISTRATIVE - NO COST EXTENSION,PLANETARY GEOLOGY AND GEOPHYSICS,KEITH HOLSAPPLE,MICHAEL KELLEY,5/7/2009,5/10/2006,10/31/2009,Awarded,Distribution
4200241324,NNX06AB28G S03,UNIVERSITY OF ARIZONA,HQ,ADMINISTRATIVE - NO COST EXTENSION,MARS FUNDAMENTAL RESEARCH,TIMOTHY SWINDLE,MARILYN LINDSTROM,6/15/2009,5/10/2006,5/9/2010,Awarded,Distribution
4200230273,NNX06AB37G S05,PURDUE UNIVERSITY,HQ,ADMINISTRATIVE - NO COST EXTENSION,NORTH AMERICAN CARBON PROGRAM,KEVIN GURNEY,DIANE E. WICKLAND,9/30/2009,5/10/2006,5/9/2010,Awarded,Distribution
4200250620,NNX06AB41G S03,CALIFORNIA INSTITUTE OF TECHNOLOGY,HQ,ADMINISTRATIVE - NO COST EXTENSION,OUTER PLANETS RESEARCH,CHRISTINA COHEN,CURT NIEBUR,5/22/2009,5/10/2006,5/9/2010,Awarded,Distribution
4200155295,NNX06AB45G S03,SPACE TELESCOPE SCIENCE INSTITUTE,GSFC,3RD NO COST EXTENSION,GALEX GUEST OBSERVER,HENRY FERGUSON,SUSAN NEFF,5/7/2009,5/8/2006,9/7/2009,Awarded,Distribution
