Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200216004","NNX06AB01G S01","COLUMBIA UNIVERSITY","HQ","2ND YEAR FUNDING","(N/A)","ADAM SOBEL","PHILIP DECOLA","2007-08-21","2006-05-15","2009-05-14","Awarded","Distribution"
"4200205883","NNX06AB02G S01","SOUTHWEST RESEARCH INSTITUTE","HQ","YEAR 2 FUNDING","(N/A)","HENRY DONES JR.","STEPHEN SAUNDERS","2007-06-28","2006-05-04","2009-05-03","Awarded","Distribution"
"4200213105","NNX06AB03G S01","PROXEMY RESEARCH INC.","HQ","YEAR 2 FUNDING","(N/A)","LORI GLAZE","STEPHEN SAUNDERS","2007-08-08","2006-05-15","2009-05-14","Awarded","Distribution"
"4200226498","NNX06AB04G S01","CALIFORNIA INSTITUTE OF TECHNOLOGY","HQ","YEAR 2 FUNDING - REVIEWED AND APPROVED FOR FUNDING","(N/A)","PAUL WENNBERG","PHILIP DECOLA","2007-11-30","2006-05-15","2009-05-14","Awarded","Distribution"
"4200214892","NNX06AB05G S01","WASHINGTON UNIVERSITY","HQ","YEAR 2 FUNDING","(N/A)","VIATCHESLAV SOLOMATOV","STEPHEN SAUNDERS","2007-08-23","2006-05-15","2009-05-14","Awarded","Distribution"
"4200213451","NNX06AB08A S01","NEW MEDIA STUDIO INC","HQ","YEAR 2 FUNDING","(N/A)","BRUCE CARON","MARTHA MAIDEN","2007-07-31","2006-06-01","2008-05-31","Awarded","Distribution"
"4200165145","NNX06AB09G S01","WHEELING JESUIT UNIVERSITY","GSFC","NO COST EXTENSION","(N/A)","CHARLES WOOD","ROBERT GABRYS","2007-06-21","2006-08-10","2008-08-09","Awarded","Distribution"
"4200218647","NNX06AB09G S02","WHEELING JESUIT UNIVERSITY","GSFC","FUNDING - AUGMENTATION","FY06 EARMARK REQUEST FOR PROPOSAL LETTER","CHARLES WOOD","ROBERT GABRYS","2007-12-17","2006-08-10","2008-08-09","Awarded","Distribution"
"4200165299","NNX06AB10G S01","UNIVERSITY OF RHODE ISLAND","GSFC","NO COST EXTENSION","(N/A)","KEN QING YANG","ARLENE BIGEL","2007-06-12","2006-10-01","2008-09-30","Awarded","Distribution"
"4200201596","NNX06AB14G S01","UNIVERSITY OF COLORADO","HQ","SECOND YEAR FUNDING","(N/A)","THEODORE SNOW","PAMELA MARCUM","2007-06-04","2006-05-25","2009-05-24","Awarded","Distribution"
"4200226690","NNX06AB14G S02","UNIVERSITY OF COLORADO","HQ","YEAR 2 INCREMENTAL FUNDING - REVIEWED AND APPROVED FOR FUNDING","ASTRONOMY AND PHYSICS RESEARCH AND ANALYSIS","THEODORE SNOW","PAMELA MARCUM","2007-12-18","2006-05-25","2009-05-24","Awarded","Distribution"
"4200206874","NNX06AB18G S01","BROWN UNIVERSITY","HQ","YEAR 2 FUNDING","(N/A)","LINDA ELKINS-TANTON","MARILYN LINDSTROM","2007-07-06","2006-05-10","2009-05-09","Awarded","Distribution"
"4200206843","NNX06AB19G S01","SOUTHWEST RESEARCH INSTITUTE","GSFC","YEAR 2 FUNDING","(N/A)","SCOTT PAINTER","MARILYN LINDSTROM","2007-07-06","2006-05-10","2009-05-09","Awarded","Distribution"
"4200155880","NNX06AB20G S01","CALIFORNIA INSTITUTE OF TECHNOLOGY","HQ","ADMINISTRATIVE SUPPLEMENT FOR NO-COST EXTENSION","(N/A)","GEORGE ROSSMAN","MARILYN LINDSTROM","2007-04-05","2006-07-17","2007-07-16","Awarded","Distribution"
"4200208664","NNX06AB21G S01","PLANETARY SCIENCE INSTITUTE","HQ","AUGMENTATION","(N/A)","REBECCA WILLIAMS","MARILYN LINDSTROM","2007-07-12","2006-06-01","2009-05-31","Awarded","Distribution"
"4200179440","NNX06AB22G S01","UNIVERSITY OF MASSACHUSETTS - AMHERST","GSFC","US/MEXICO LARGE MILLIMETER TELESCOPE","(N/A)","PETER SCHLOERB","DOMINIC BENFORD","2007-03-07","2006-10-01","2007-03-30","Awarded","Distribution"
"4200179440","NNX06AB22G S02","UNIVERSITY OF MASSACHUSETTS -  AMHERST","GSFC","NO COST EXTENSION","(N/A)","PETER SCHLOERB","DOMINIC BENFORD","2007-09-29","2006-10-01","2008-09-30","Awarded","Distribution"
"4200216068","NNX06AB23G S02","SETI INSTITUTE","HQ","YEAR 2 FUNDING","(N/A)","JANICE BISHOP","MARILYN LINDSTROM","2007-08-30","2006-06-01","2009-05-31","Awarded","Distribution"
"4200206863","NNX06AB24G S01","NORTH DAKOTA STATE UNIVERSITY","GSFC","YAER 2 FUNDING","(N/A)","KENNETH LEPPER","MARILYN LINDSTROM","2007-07-05","2006-05-10","2008-05-09","Awarded","Distribution"
"4200207996","NNX06AB25G S01","ARIZONA STATE UNIVERSITY","HQ","YEAR 2 FUNDING","(N/A)","THOMAS SHARP","MARILYN LINDSTROM","2007-07-06","2006-06-01","2009-05-31","Awarded","Distribution"
"4200211737","NNX06AB27G S01","SOUTHWEST RESEARCH INSTITUTE","HQ","YEAR 2 FUNDING","(N/A)","DAVID NESVORNY","STEPHEN SAUNDERS","2007-09-07","2006-05-10","2009-05-09","Awarded","Distribution"
"4200206826","NNX06AB28G S01","UNIVERSITY OF ARIZONA","HQ","YEAR 2 FUNDING","(N/A)","TIMOTHY SWINDLE","MARILYN LINDSTROM","2007-07-06","2006-05-10","2009-05-09","Awarded","Distribution"
"4200157233","NNX06AB29G S01","BROWN UNIVERSITY","HQ","SUPPLEMENTAL NO COST EXTENSION","(N/A)","JAMES HEAD","STEPHEN SAUNDERS","2007-05-18","2006-05-10","2008-05-09","Awarded","Distribution"
"4200157233","NNX06AB29G S02","BROWN UNIVERSITY","GSFC","CORRECT PI NAME","(N/A)","JAMES HEAD","STEPHEN SAUNDERS","2007-06-13","2006-05-10","2008-05-09","Awarded","Distribution"
"4200157266","NNX06AB31G S01","ARIZONA STATE UNIVERSITY","HQ","SUPPLEMENTAL NO COST EXTENSION","(N/A)","RONALD GREELEY","STEPHEN SAUNDERS","2007-05-23","2006-05-15","2008-05-14","Awarded","Distribution"
"4200208012","NNX06AB33G S02","UNIVERSITY OF TENNESSEE","HQ","YEAR 2 FUNDING","(N/A)","STEVEN SYMES","MARILYN LINDSTROM","2007-07-10","2006-07-17","2009-07-16","Awarded","Distribution"
"4200181944","NNX06AB37G S01","PURDUE UNIVERSITY","HQ","S01-ADMIN SUPPLEMENT FOR INCREMENTAL FUNDING","(N/A)","KEVIN GURNEY","WILLIAM EMANUEL","2007-01-03","2006-05-10","2008-05-09","Awarded","Distribution"
"4200208112","NNX06AB37G S02","PURDUE UNIVERSITY","GSFC","YEAR 2 FUNDING","(N/A)","KEVIN GURNEY","WILLIAM EMANUEL","2007-07-16","2006-05-10","2008-05-09","Awarded","Distribution"
"4200150358","NNX06AB38G S01","UNIVERSITY OF CALIFORNIA","GSFC","NO COST EXTENSION","(N/A)","MICHAEL RICH","SUSAN NEFF","2007-06-08","2006-06-01","2008-05-31","Awarded","Distribution"
"4200150358","NNX06AB38G S02","UNIVERSITY OF CALIFORNIA","GSFC","ADMINISTRATIVE","(N/A)","MICHAEL RICH","SUSAN NEFF","2007-09-20","2006-06-01","2008-05-31","Awarded","Distribution"
"4200150266","NNX06AB39G S01","INSTITUTE OF GLOBAL ENVIRONMENT AND SOCIETY, INC.","GSFC","SUPPLEMENT TO CLOSE OUT AWARD","(N/A)","PAUL SCHOPF","MAX SUAREZ","2007-09-26","2006-05-10","2007-09-26","Awarded","Distribution"
"4200199358","NNX06AB41G S01","CALIFORNIA INSTITUTE OF TECHNOLOGY","GSFC","SUPPLEMENTAL 2 YEAR FUNDING","(N/A)","CHRISTINA COHEN","CURT NIEBUR","2007-06-06","2006-05-10","2009-05-09","Awarded","Distribution"
"4200154407","NNX06AB43G S01","THE COLLEGE OF CHARLESTON","GSFC","ADMINISTRATIVE SUPPLEMENT TO GRANT NNX06AG43G FOR NO COST EXTENSION","(N/A)","JON HAKKILA","FRANCIS MARSHALL","2007-03-06","2006-05-10","2008-05-09","Awarded","Distribution"
"4200154462","NNX06AB44G S01","CALIFORNIA INSTITUTE OF TECHNOLOGY","GSFC","ADMINISTRATIVE SUPPLEMENT FOR NO COST EXTENSION","(N/A)","SHRINIVAS KULKARNI","FRANCIS MARSHALL","2007-04-25","2006-05-10","2008-05-09","Awarded","Distribution"
"4200155295","NNX06AB45G S01","SPACE TELESCOPE SCIENCE INSTITUTE","GSFC","NO COST EXTENSION","(N/A)","HENRY FERGUSON","SUSAN NEFF","2007-06-21","2006-05-08","2008-05-07","Awarded","Distribution"
"4200155293","NNX06AB46G S01","UNIVERSITY OF COLORADO","GSFC","NO COST EXTENSION","(N/A)","ALEXANDER BROWN","SUSAN NEFF","2007-06-28","2006-07-01","2008-06-30","Awarded","Distribution"
"4200155119","NNX06AB47G S01","THE COLLEGE OF CHARLESTON","GSFC","ADMINISTRATIVE SUPPLEMENT TO GRANT NNX06AB47G FOR NO COST EXTENSION","(N/A)","TIMOTHY GIBLIN","FRANCIS MARSHALL","2007-03-09","2006-05-08","2008-05-07","Awarded","Distribution"
"4200199617","NNX06AB48G S01","COLUMBIA UNIVERSITY","GSFC","YEAR 2 FUNDING","(N/A)","ADAM SOBEL","MICHELE RIENECKER","2007-06-13","2006-05-08","2009-05-07","Awarded","Distribution"
"4200204111","NNX06AB49A S01","GEORGE MASON UNIVERSITY","GSFC","YEAR 2 FUNDING","(N/A)","LIPING DI","KEN MCDONALD","2007-06-29","2006-05-08","2009-05-07","Awarded","Distribution"
"4200200282","NNX06AB50G S01","UNIVERSITY OF COLORADO","GSFC","CHANGE REQUEST FOR YEAR 2 FUNDING","(N/A)","JIALIN LIN","SIEGFRIED SCHUBERT","2007-05-23","2006-05-01","2011-04-30","Awarded","Distribution"
"4200221878","NNX06AB53G S01","UNIVERSITY OF HAWAII","HQ","YEAR 2  FUNDING","(N/A)","VICTORIA HAMILTON","MARILYN LINDSTROM","2007-09-24","2006-05-10","2008-05-09","Awarded","Distribution"
"4200223903","NNX06AB57G S01","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","YEAR 2 FUNDING - REVIEWED AND APPROVED FOR FUNDING","MEASUREMENTS, MODELING, AND ANALYSES IN SUPPORT OF AURA AND OTHER NASA SATELLITE OBSERVATIONS OF THE EARTH'S ATMOSPHERE","SUSHIL CHANDRA","P. K. BHARTIA","2007-10-31","2006-06-15","2009-06-14","Awarded","Distribution"
"4200217536","NNX06AB60G S01","UNIVERSITY OF MICHIGAN","HQ","YEAR 2 FUNDING","(N/A)","MICHAEL COMBI","CURT NIEBUR","2007-08-31","2006-05-10","2009-05-09","Awarded","Distribution"
"4200206847","NNX06AB62G S01","PLANETARY SCIENCE INSTITUTE","HQ","YEAR 2 FUNDING","(N/A)","MELISSA LANE","MARILYN LINDSTROM","2007-07-06","2006-06-01","2009-05-31","Awarded","Distribution"
"4200218837","NNX06AB63G S01","COLORADO STATE UNIVERSITY","GSFC","YEAR 2 FUNDING","(N/A)","GRAEME STEPHENS","STEVE KEMPLER","2007-09-10","2006-05-08","2008-05-07","Awarded","Distribution"
"4200183919","NNX06AB64G S01","UNIVERSITY OF ARIZONA","GSFC","YEAR 2 FUNDING - REVIEWED AND APPROVED FOR FUNDING","ASTRONOMY AND PHYSICS RESEARCH AND ANALYSIS","LUCY ZIURYS","PAMELA MARCUM","2007-12-21","2006-06-01","2009-05-31","Awarded","Distribution"
"4200206951","NNX06AB65G S02","PLANETARY SCIENCE INSTITUTE","HQ","YEAR 2 FUNDING","(N/A)","ELISABETTA PIERAZZO","MARILYN LINDSTROM","2007-07-12","2006-05-15","2009-05-14","Awarded","Distribution"
"4200156694","NNX06AB67G S01","STATE UNIV OF NEW YORK AT STONY BROOK","HQ","ADMINISTRATIVE SUPPLEMENT FOR NO COST EXTENSION","(N/A)","DR. SCOTT MCLENNAN","MARILYN LINDSTROM","2007-05-14","2006-05-10","2008-05-09","Awarded","Distribution"
"4200203350","NNX06AB68G S01","UNIVERSITY OF ALABAMA - HUNTSVILLE","HQ","YEAR 2 FUNDING","(N/A)","ROBERT LAWTON","WILLIAM TURNER","2007-06-19","2006-05-31","2009-05-30","Awarded","Distribution"
"4200191095","NNX06AB72H S01","UNIVERSITY OF VIRGINIA","GSFC","SUPPLEMENT TO FUND SECOND YEAR","(N/A)","MICHAEL SKRUTSKIE","MABLELENE BURRELL","2007-04-20","2006-09-01","2009-08-31","Awarded","Distribution"
"4200196820","NNX06AB74G S01","UNIVERSITY CORPORATION FOR ATMOSPHERE RESEARCH","HQ","SUPPLEMENTAL 2 YEAR FUNDING","(N/A)","JAMES HACK","DONALD ANDERSON","2007-05-14","2006-05-18","2009-05-17","Awarded","Distribution"
