Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200248823","NNX06AB04G S05","CALIFORNIA INSTITUTE OF TECHNOLOGY","HQ","ADMINISTRATIVE - 2ND NO COST EXTENSION & T.O. CHANGE","SCIENCE MISSION DIRECTORATE'S EARTH-SUN SYSTEM DIVISION","PAUL WENNBERG","RICHARD S. ECKMAN","2010-04-09","2006-05-15","2011-05-14","Awarded","Distribution"
"4200248211/ 4200250207","NNX06AB21G S04","PLANETARY SCIENCE INSTITUTE","HQ","ADMINISTRATIVE - NO COST EXTENSION","MARS FUNDAMENTAL RESEARCH PROGRAM","REBECCA WILLIAMS","MARILYN LINDSTROM","2010-01-14","2006-06-01","2011-05-31","Awarded","Distribution"
"4200254207","NNX06AB68G S04","UNIVERSITY OF ALABAMA - HUNTSVILLE","HQ","ADMINISTRATIVE - NO COST EXTENSION","TERRESTRIAL ECOLOGY AND BIODIVERSITY","ROBERT LAWTON","WILLIAM TURNER","2010-03-09","2006-05-31","2010-12-30","Awarded","Distribution"
"4200246011","NNX06AC04G S05","BOSTON UNIVERSITY","HQ","ADMINISTRATIVE - 2ND NO COST EXTENSION & TO CHANGE","LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY PROGRAM","SUPRIYA CHAKRABARTI","CHARLES C. GOODRICH","2010-05-24","2006-05-24","2011-05-23","Awarded","Distribution"
"4200278805","NNX06AC05G S07","UNIVERSITY OF COLORADO - BOULDER","HQ","ADMINISTRATIVE - 2ND COST EXTENSION & TO CHANGE","LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY PROGRAM","CORA RANDALL","MADHULIKA GUHATHAKURTA","2010-10-14","2006-07-01","2010-12-31","Awarded","Distribution"
"4200354566","NNX06AC13G S05","HARVARD UNIVERSITY","GSFC","FUNDING - YEAR 5 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","PLANETARY AND GEOPHYSICS","SARAH STEWART-MUKHOPADHYAY","MICHAEL KELLEY","2010-08-30","2006-06-28","2011-06-27","Awarded","Distribution"
"4200244573","NNX06AC18G S05","UNIVERSITY OF MARYLAND","HQ","ADMINISTRATIVE - NO COST EXTENSION / ADMINISTRATIVE - T.O. CHANGE","LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY","GERALD SHARE","CHARLES C GOODRICH","2010-02-26","2006-05-24","2011-05-23","Awarded","Distribution"
"4200355083","NNX06AC30A S04","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","GSFC","FUNDING - YEAR 5 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","WATER-AND ENERGY-CYCLE PROGRAM","C. A. SCHLOSSER","MICHAEL JASINSKI","2010-08-19","2006-09-01","2011-08-31","Awarded","Distribution"
"4200251858","NNX06AC34G S04","CORNELL UNIVERSITY","HQ","ADMINISTRATIVE - 2ND NO COST EXTENSION","LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY PROGRAM","MARK PSIAKI","CHARLES C. GOODRICH","2010-04-15","2006-05-25","2011-05-24","Awarded","Distribution"
"4200357176","NNX06AC46G S04","CORNELL UNIVERSITY","HQ","FUNDING - YEAR 5 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","UNSOLICITED","JOSEPH  VEVERKA","MICHAEL KELLEY","2010-09-08","2006-06-22","2011-06-21","Awarded","Distribution"
"4200159592","NNX06AC48G S04","SMITHSONIAN ASTROPHYSICAL OBSERVATORY","GSFC","ADMINISTRATIVE - 4TH NO COST EXTENSION","FUSE GUEST INVESTIGATOR PROGRAM - CYCLE 7","ANDREA DUPREE","GEORGE SONNEBORN","2010-05-03","2006-06-06","2011-06-05","Awarded","Distribution"
"4200240982","NNX06AC60G S06","WILLIAM MARSH RICE UNIVERSITY","GSFC","ADMINISTRATIVE - 2ND NO COST EXTENSION","UNSOLICITED","PATRICIA REIFF","MELVYN GOLDSTEIN","2010-08-25","2006-06-09","2011-08-31","Awarded","Distribution"
"4200250701","NNX06AC67G S05","UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH","GSFC","ADMINISTRATIVE - NO COST EXTENSION","NASA AFRICAN MONSOON MULTIDISCIPLINARY ACTIVITIES","ANDREW HEYMSFIELD","MATHEW SCHWALLER","2010-07-09","2006-06-06","2011-06-05","Awarded","Distribution"
"4200245219","NNX06AC73G S04","UNIVERSITY OF NORTH DAKOTA","GSFC","ADMINISTRATIVE - 2ND NO COST EXTENSION","NASA AFRICAN MONSOON MULTIDISCIPLINARY ACTIVITIES","PAUL KUCERA","MATTHEW SCHWALLER","2010-06-15","2006-06-06","2011-05-31","Awarded","Distribution"
"4200349518","NNX06AC75G S05","COLORADO STATE UNIVERSITY","GSFC","FUNDING - INCREMENTAL YEAR 5 REVIEWED AND APPROVED FOR FUNDING","CARBON CYCLE SCIENCE","SCOTT DENNING","STEVEN PAWSON","2010-08-18","2006-06-23","2011-06-22","Awarded","Distribution"
"4200344679","NNX06AC76G S05","COLORADO STATE UNIVERSITY","GSFC","FUNDING - INCREMENTAL YEAR 5 REVIEWED AND APPROVED FOR FUNDING","SCIENCE MISSION DIRECTORATE'S EARTH-SUN SYSTEM DIVISION","DENIS O'BRIEN","STEVEN PAWSON","2010-07-08","2006-06-23","2011-06-22","Awarded","Distribution"
"4200342684","NNX06AC85A S09","SETI INSTITUTE","GSFC","FUNDING - YEAR 5 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","UNSOLICITED","MARK SHOWALTER","MICHAEL FLASAR","2010-05-28","2006-06-09","2011-06-08","Awarded","Distribution"
"4200349362","NNX06AC85A S10","SETI INSTITUTE","GSFC","FUNDING - AUGMENTATION","UNSOLICITED","MARK SHOWALTER","MICHAEL FLASAR","2010-07-15","2006-06-09","2011-06-08","Awarded","Distribution"
"4200303242","NNX06AC94G S06","AMERICAN GEOPHYSICAL UNION","HQ","ADMINISTRATIVE - NO COST EXTENSION","UNSOLICITED","HASSAN VIRJI","GARIK GUTMAN","2010-02-26","2006-06-15","2011-06-14","Awarded","Distribution"
"4200259932","NNX06AD12G S04","SPACE SCIENCE INSTITUTE","HQ","ADMINISTRATIVE - 2ND NO COST EXTENSION","OUTER PLANETS RESEARCH","HEIDI HAMMEL","CURT NIEBUR","2010-09-21","2006-10-01","2011-09-30","Awarded","Distribution"
"4200248691","NNX06AD16G S04","JOHNS HOPKINS UNIVERSITY","HQ","ADMINISTRATIVE - 2ND NO COST EXTENSION","OUTER PLANETS RESEARCH","CHARLES HIBBITTS","CURT NIEBUR","2010-05-20","2006-06-22","2011-06-21","Awarded","Distribution"
"4200224845","NNX06AD40G S03","REGENTS OF THE UNIVERSITY OF CALIFORNIA - SAN DIEGO","GSFC","ADMINISTRATIVE - 2ND NO COST","CRYOSPHERIC SCIENCES, OCEAN BIOLOGY, PHYSICAL OCEANOGRAPHY","HELEN FRICKER","THORSTEN MARKUS","2010-05-06","2006-07-01","2011-06-30","Awarded","Distribution"
"4200252437","NNX06AD55G S04","UNIVERSITY OF MIAMI","AFRC","ADMINISTRATIVE - 2ND NO COST EXTENSION","NASA AFRICAN MONSOON MULTIDISCIPLINARY ACTIVITIES","SHARANYA MAJUMDAR","MATHEW SCHWALLER","2010-07-20","2006-07-11","2011-07-31","Awarded","Distribution"
"4200276815","NNX06AD57G S03","COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","GSFC","ADMINISTRATIVE - OTHER - (CHANGE POP END DATE OF GRANT)","UNSOLICITED","ARNOLD GORDON","DAVID LEVINE","2010-06-02","2006-07-10","2010-07-09","Awarded","Distribution"
"4200270354","NNX06AD67G S05","BROWN UNIVERSITY","HQ","ADMINISTRATIVE - NO COST EXTENSION","PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM","REID COOPER","MICHAEL KELLEY","2010-05-18","2006-09-01","2010-08-31","Awarded","Distribution"
"4200311739","NNX06AD72G S05","MARINE BIOLOGICAL LABORATORY","HQ","ADMINISTRATIVE - 1ST NO COST EXTENSION","ASTROBIOLOGY: EXOBIOLOGY AND EVOLUTIONARY BIOLOGY PROGRAM","LYNN MARGULIS","MICHAEL NEW","2010-05-03","2006-09-15","2011-04-30","Awarded","Distribution"
"4200311739","NNX06AD72G S06","MARINE BIOLOGICAL LABORATORY","HQ","ADMINISTRATIVE - REDUCE POP","ASTROBIOLOGY: EXOBIOLOGY AND EVOLUTIONARY BIOLOGY PROGRAM","LYNN MARGULIS","MICHAEL NEW","2010-09-08","2006-09-15","2010-08-31","Awarded","Distribution"
"4200298199","NNX06AD74G S04","UNIVERSITY OF MIAMI","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","EARTH-SUN SYSTEM","BRIAN MAPES","MICHELE RIENECKER","2010-09-16","2006-10-01","2011-09-30","Awarded","Distribution"
