filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
TRUE,ec,TRUE,ECOF20,A39,20-ECOF20,NNH20ZDA001N-ECOF,A.39 Ecological Forecasting,NRA,NASA:HQ:SMD:ES,2020,3000000,13,4,12000000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={BEC93042-C0D8-413D-F7ED-F5A202516CA7}&path=&method=init,,,
TRUE,bd,TRUE,BIODIV20,ISS focus,20-BIODIV20,NNH20ZDA001N-BIODIV,A.7 Biodiversity,NRA,NASA:HQ:SMD:ES,2020,2200000,,3,6600000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={EF7CA58A-C267-0D56-CF4A-647AD741E805}&path=&method=init,,,
TRUE,bd,TRUE,BIODIV21,BioSCape,21-BIODIV21,NNH21ZDA001N-BIODIV,"A.7 Biodiversity: Marine, Freshwater, and Terrestrial Biodiversity Survey of the Cape (BioSCape) Airborn",NRA,NASA:HQ:SMD:ES,2021,2000000,,3,6000000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={894DAA02-E086-2381-ABA6-F8C16ABFFFB2}&path=&method=init,,,
TRUE,bd,TRUE,BIODIV15,A6,15-BIODIV15,NNH15ZDA001N-BIO,Biodiversity,NRA,NASA:HQ:SMD:ES,2015,600000,,1.5,900000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={AD1292B4-AE00-19F0-BBE4-1971A175A7B4}&path=&method=init,,,
TRUE,bd,TRUE,BIODIV,A5,08-BIODIV,NNH08ZDA001N-BIODIV,Biodiversity,NRA,NASA:HQ:SMD:ES,2008,1750000,,3,5250000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={5B881C19-A389-8574-50F0-65EC09A54BD3}&path=&method=init,,,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=128869/solicitationId=%7B5B881C19-A389-8574-50F0-65EC09A54BD3%7D/viewSolicitationDocument=1/A.5%20Biodiversity.pdf
TRUE,ec,TRUE,ECO4CAST,ECOF16,16-ECO4CAST,NNH16ZDA001N-ECO4CAST,Earth Science Applications: Ecological Forecasting,NRA,NASA:HQ:SMD:ES,2016,VARIABLE,13,4,9600000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={21B7609E-9264-D78C-40F1-55D2CFA4EE04}&path=&method=init,https://i-nspires.nasaprs.com/internal/viewrepositorydocument/cmdocumentid=548974/ECO4CAST16%20selections.pdf,,
TRUE,ec,TRUE,A36phase2,A36stage2,12-A36PHA,NNH12ZDA001N-ECOF,Earth Science Applications: Ecological Forecasting for Conservation and Natural Resource Management,NRA,NASA:HQ:SMD:ES,2012,VARIABLE,,3,6000000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={82E6E0F9-F418-A715-BE43-E2E5F5DD83DF}&path=&method=init,,,
TRUE,ec,TRUE,ECOF12,ECOF12,12-ECOF12,NNH12ZDA001N-ECOF,Earth Science Applications: Ecological Forecasting for Conservation and Natural Resource Management,NRA,NASA:HQ:SMD:ES,2012,8000000,,1,8000000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={82E6E0F9-F418-A715-BE43-E2E5F5DD83DF}&path=&method=init,,,
TBA,ec,TRUE,ECOF22,A40,,NNH22ZDA001N-ECON,A.40 Earth Science Applications: Ecological Conservation,NRA,NASA:HQ:SMD:ES,2022,3000000,TBD,4,12000000,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={99E9B9E3-A689-77C0-8B22-290D653B287F}&path=&method=init,,,
NA,bd,TRUE,NA,NA,,NNH21ZDA001N-ECOF,A.38 Earth Science Applications: Ecological Forecasting: not solicited in ROSES-21,NRA,NASA:HQ:SMD:ES,2021, NA ,NA,NA,,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={71A79DD0-82ED-009C-4967-184FDFA6B728}&path=&method=init,,,
NA,bd,TRUE,NA,NA,,NNH22ZDA001N-BIODIV,A.7 Biodiversity: Not Solicited in ROSES-2022,NRA,NASA:HQ:SMD:ES,2022, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH11ZDA001N-BIO,Biodiversity,NRA,NASA:HQ:SMD:ES,2011, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH12ZDA001N-BIO,Biodiversity,NRA,NASA:HQ:SMD:ES,2012, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH13ZDA001N-BIO,Biodiversity,NRA,NASA:HQ:SMD:ES,2013, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH14ZDA001N-BIO,Biodiversity,NRA,NASA:HQ:SMD:ES,2014, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH16ZDA001N-BIODIV,Biodiversity,NRA,NASA:HQ:SMD:ES,2016, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH17ZDA001N-BIODIV,Biodiversity,NRA,NASA:HQ:SMD:ES,2017, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH18ZDA001N-BIODIVERSITY,Biodiversity: not solicited in 2018,NRA,NASA:HQ:SMD:ES,2018, NA ,NA,NA,,NA,,,
NA,bd,TRUE,NA,NA,,NNH19ZDA001N-BIODIV,Biodiversity: not solicited in ROSES-2019,NRA,NASA:HQ:SMD:ES,2019, NA ,NA,NA,,NA,,,
NA,ec,TRUE,NA,NA,,NNH17ZDA001N-ECO4CAST,Ecological Forecasting,NRA,NASA:HQ:SMD:ES,2017, NA ,NA,NA,,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={B5A47155-F29F-39DB-D186-036530588CE9}&path=&method=init,,,
NA,ec,TRUE,NA,NA,,NNH19ZDA001N-ECO4CAST,Ecological Forecasting: not solicited in ROSES-2019,NRA,NASA:HQ:SMD:ES,2019, NA ,NA,NA,,https://nspires.nasaprs.com/external/solicitations/summary.do?solId={5A28107B-538E-28E2-4B19-898EB2C62272}&path=&method=init,,,
TRUE,r&a,TRUE,20-EARTH20,20-EARTH20,20-EARTH20,NNH20ZDA001N-FINESST,E.5 Future Investigators in NASA Earth and Space Science and Technology,NRA,NASA:HQ:SMD,2020,VARIABLE,,,,,,,
