nra year,solicitation id,program name,jlb-status,NRA number
2022,22-ACMAP22,Atmospheric Composition,downloaded,
2023,23-CRYO23,Cryo,downloaded,
2020,20-CRYO20,Cryo,downloaded,
2015,15-CRYO15,Cryo,downloaded,
2012,12-CRYO12,Cryo,downloaded,
2023,23-ESI23,Earth Surface & Interior (ESI),downloaded,
2022,22-ESI22,Earth Surface & Interior (ESI),downloaded,
2017,17-ESI17,Earth Surface & Interior (ESI),downloaded,
2015,15-ESI15,Earth Surface & Interior (ESI),downloaded,
2022,22-ESAT22,Ecological Conservation,downloaded,
2023,23-LCLUC23,LCLUC,downloaded,
2022,22-LCLUC22,LCLUC,downloaded,
2021,21-LCLUC21,LCLUC,downloaded,
2020,20-LCLUC20,LCLUC,downloaded,
2019,19-LCLUC19,LCLUC,downloaded,
2018,18-LCLUC18,LCLUC,downloaded,
2016,16-LCLUC16,LCLUC,downloaded,
2015,15-LCLUC15,LCLUC,downloaded,
2013,13-LCLUC13,LCLUC,downloaded,
2012,12-LCLUC12,LCLUC,downloaded,
2011,11-LCLUC11,LCLUC,downloaded,
2010,10-LCLUC10,LCLUC,downloaded,
2009,09-LCLUC09,LCLUC,downloaded,
2008,08-LCLUC08,LCLUC,downloaded,
2023,23-MAP23,MAP,downloaded,
2008,08-MAP08,MAP,downloaded,
2022,22-PO22,Physical Oceanography (PO),downloaded,
2021,21-SERVIR21,SERVIR,downloaded,
2018,18-SERVIR18,SERVIR,downloaded,
2015,15-SERVIR15,SERVIR,downloaded,
2012,12-TE12,TE,downloaded,
2021,21-WATER21,Water Resources,downloaded,
2022,22-WEATHER22,Weather,downloaded,
2022,22-THP22,WEC Terrestrial Hydrology (THP),downloaded,
2005,05-Decisions/0505,Ecological Conservation,not in nspires,
2023,23-ACMAP23,Atmospheric Composition,not solicited,
2022,22-UACO22,Atmospheric Composition,not solicited,
2021,21-ACMAP21,Atmospheric Composition,not solicited,
2020,20-ACMAP20,Atmospheric Composition,not solicited,
2019,19-ACMAP19,Atmospheric Composition,not solicited,
2017,17-ACMAP17,Atmospheric Composition,not solicited,
2015,15-ACMAP15,Atmospheric Composition,not solicited,
2013,13-ACMAP13,Atmospheric Composition,not solicited,
2011,11-ACMAP11,Atmospheric Composition,not solicited,
2023,23-BIODIV23,BD,not solicited,
2022,22-BIODIV22,BD,not solicited,
2019,19-BIODIV19,BD,not solicited,
2018,18-BIODIVERSITY18,BD,not solicited,
2017,17-BIODIV17,BD,not solicited,
2016,16-BIODIV16,BD,not solicited,
2014,14-BIO14,BD,not solicited,
2013,13-BIO13,BD,not solicited,
2012,12-BIO12,BD,not solicited,
2011,11-BIO11,BD,not solicited,
2022,22-CRYO22,Cryo,not solicited,
2019,19-CRYO19,Cryo,not solicited,
2018,18-CRYO18,Cryo,not solicited,
2016,16-CRYO16,Cryo,not solicited,
2014,14-CRYO14,Cryo,not solicited,
2008,08-CRYO08,Cryo,not solicited,
2023,23-DISASTERS23,Disasters,not solicited,
2021,21-DISASTERS21,Disasters,not solicited,
2012,12-ESI12,Earth Surface & Interior (ESI),not solicited,
2011,11-ESI11,Earth Surface & Interior (ESI),not solicited,
2009,09-ESI09,Earth Surface & Interior (ESI),not solicited,
2006,06-ESI06,Earth Surface & Interior (ESI),not solicited,
2021,21-ECOF21,Ecological Conservation,not solicited,
2019,19-ECO4CAST19,Ecological Conservation,not solicited,
2017,17-ECOSTRESS17,Ecological Conservation,not solicited,
2017,17-ECO4CAST17,Ecological Conservation,not solicited,
2023,23-EEJ23,Environmental Justice,not solicited,
2023,23-HAQ23,HAQ,not solicited,
2022,22-HAQ22,HAQ,not solicited,
2006,06-LCLUC06,LCLUC,not solicited,
2022,22-MAP22,MAP,not solicited,
2021,21-MAP21,MAP,not solicited,
2018,18-MAP18,MAP,not solicited,
2017,17-MAP17,MAP,not solicited,
2014,14-MAP14,MAP,not solicited,
2013,13-MAP13,MAP,not solicited,
2011,11-MAP11,MAP,not solicited,
2009,09-MAP09,MAP,not solicited,
2023,23-OBB23,OBB,not solicited,
2022,22-OBB22,OBB,not solicited,
2021,21-OBB21,OBB,not solicited,
2019,19-OBB19,OBB,not solicited,
2018,18-OBB18,OBB,not solicited,
2017,17-OBB17,OBB,not solicited,
2011,11-OBB11,OBB,not solicited,
2023,23-PO23,Physical Oceanography (PO),not solicited,
2021,21-PO21,Physical Oceanography (PO),not solicited,
2006,06-PO06,Physical Oceanography (PO),not solicited,
2023,23-SERVIR23,SERVIR,not solicited,
2022,22-SERVIR22,SERVIR,not solicited,
2020,20-SERVIR20,SERVIR,not solicited,
2019,19-SERVIR19,SERVIR,not solicited,
2023,23-TE23,TE,not solicited,
2020,20-TE20,TE,not solicited,
2019,19-TE19,TE,not solicited,
2017,17-TE17,TE,not solicited,
2015,15-TE15,TE,not solicited,
2010,10-TE10,TE,not solicited,
2006,06-TEB06,TE,not solicited,
2023,23-WATER23,Water Resources,not solicited,
2022,22-WATER22,Water Resources,not solicited,
2023,23-WAD23,Weather,not solicited,
2021,21-WEATHER21,Weather,not solicited,
2020,20-WEATHER20,Weather,not solicited,
2018,18-WEATHER18,Weather,not solicited,
2015,15-WEATHER15,Weather,not solicited,
2012,12-WFA12,Weather,not solicited,
2011,11-WFA11,Weather,not solicited,
2023,23-THP23,WEC Terrestrial Hydrology (THP),not solicited,
2021,21-THP21,WEC Terrestrial Hydrology (THP),not solicited,
2018,18-THP18,WEC Terrestrial Hydrology (THP),not solicited,
2015,15-THP15,WEC Terrestrial Hydrology (THP),not solicited,
2014,14-THP14,WEC Terrestrial Hydrology (THP),not solicited,
2012,12-THP12,WEC Terrestrial Hydrology (THP),not solicited,
2011,11-THP11,WEC Terrestrial Hydrology (THP),not solicited,
2009,09-THP09,WEC Terrestrial Hydrology (THP),not solicited,
2006,06-THP06,WEC Terrestrial Hydrology (THP),not solicited,
2015,15-BIO15,BD,SHOULD HAVE THIS!,
2008,08-BIODIV08,BD,SHOULD HAVE THIS!,
2011,11-DISASTER11,Disasters,SHOULD HAVE THIS!,
2016,16-ECO4CAST16,Ecological Conservation,SHOULD HAVE THIS!,
2007,07-DECISIONS07,Ecological Conservation,SHOULD HAVE THIS!,
2016,16-OBB16,OBB,SHOULD HAVE THIS!,
2011,11-FIRES11,Wildfires,Jessica added,NNH11ZDA001N-FIRESÊ
